ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
US6541061031;NKE;Nike;USD;Consumer Cyclical;Footwear & Accessories;147.95;60.0;79.6505;6.756;20.9147;1.1;0.0077;2020-12-04;145.05;2021-01-14;2021-01-12;S&P500, DowJones;1987;2020;22;9;1.5049603174603174;0.16091954022988508;-0.12931034482758613;0.3648648648648649;0.1160220994475138;0.74;0.82;0.905;1.01;;0.296;0.6833333333333333;0.362;0.63125;
US65473P1057;NI;Nisource;USD;Utilities;Utilities—Regulated Gas;30.46;19.56;;11.863;1.8427;0.84;0.0382;2020-10-29;21.87;2021-01-14;2021-01-12;S&P500;1985;2020;22;4;1.74079874706343;1.1814782111878668;0.6332244517032197;0.20000000000000004;0.049999999999999906;0.7;0.78;0.8;0.84;;;;;;
US6558441084;NSC;Norfolk Southern;USD;Industrials;Railroads;258.17;112.62;32.5126;58.826;4.29164;3.76;0.0148;2020-11-05;256.44;2021-01-14;2021-01-12;S&P500;1983;2020;31;2;11.085368989457443;0.8431372549019607;0.2745762711864405;0.540983606557377;0.04444444444444436;2.44;3.04;3.6;3.76;;0.13118279569892471;0.32;0.34951456310679613;;
US6658591044;NTRS;Northern Trust;USD;Financial Services;Asset Management;109.88;60.67;16.4668;51.384;1.9401;2.8;0.0285;2020-12-10;99.35;2021-01-14;2021-01-12;S&P500;1987;2020;26;4;34.741639009446004;1.2764227642276422;0.9858156028368794;0.7499999999999998;0.07692307692307682;1.6;1.94;2.6;2.8;;0.32653061224489793;0.29393939393939394;0.393939393939394;;
US6668071029;NOC;Northrop Grumman;USD;Industrials;Aerospace & Defense;385.01;263.31;20.7847;62.784;4.82639;5.8;0.0194;2020-11-27;297.54;2021-01-14;2021-01-12;S&P500;1983;2020;21;5;19.919421487603305;1.3823529411764706;0.8290322580645161;0.45384615384615384;0.09883720930232553;3.9;4.7;5.16;5.67;;0.3391304347826087;0.25405405405405407;0.39090909090909093;;
US6703461052;NUE;Nucor;USD;Basic Materials;Steel;58.52;27.53;40.1986;34.122;1.6611;1.62;0.0286;2020-12-30;58.1;2021-01-14;2021-01-12;US Dividend Aristokrates, S&P500;1984;2020;33;3;106.60000000000002;0.09646739130434791;0.08104487608841258;0.06605019815059451;0.00686213349968816;1.514;1.54;1.603;1.614;;0.3692682926829269;0.2081081081081081;0.3909756097560976;;
US67066G1040;NVDA;NVIDIA;USD;Technology;Semiconductors;589.07;180.68;86.3185;24.772;21.3148;0.64;0.0012;2020-12-03;539.39;2021-01-14;2021-01-12;S&P500, Nasdaq;2013;2020;6;0;1.0645161290322582;1.0645161290322582;0.6161616161616161;0.12280701754385977;0.0;0.57;0.61;0.64;0.64;;0.2192307692307692;0.12708333333333333;0.09696969696969698;0.14222222222222222;
US67103H1077;ORLY;O Reilly Automotive;USD;Consumer Cyclical;Specialty Retail;496.61;251.52;21.1066;9.679;48.7137;;;;495.4;2021-01-14;2021-01-12;Nasdaq, S&P500;;;;;;;;;;;;;;;;;;;
US6745991058;OXY;Occidental Petroleum;USD;Energy;Oil & Gas E&P;47.58;8.52;;10.844;2.23534;0.04;0.0018;2020-12-09;22.62;2021-01-14;2021-01-12;Berkshire Hathaway, S&P500;1983;2020;19;5;-0.3152743912622332;-0.6656663839780809;-0.7234373366340976;-0.7320261437908497;-0.7388535031847134;3.06;3.1;3.14;0.82;;1.8;0.5740740740740741;-2.6166666666666667;;
US6819191064;OMC;Omnicom Group;USD;Communication Services;Advertising Agencies;81.0;44.5;14.2931;12.275;5.16416;2.6;0.0413;2020-12-18;63.93;2021-01-14;2021-01-12;S&P500;1985;2020;25;3;4.909090909090909;0.625;0.30000000000000004;0.15555555555555559;0.0;2.25;2.4;2.6;2.6;;0.4787234042553191;0.41379310344827586;0.42622950819672134;;
US6826801036;OKE;ONEOK;USD;Energy;Oil & Gas Midstream;78.48;12.16;30.6575;13.83;3.23644;3.74;0.0856;2020-10-30;43.51;2021-01-14;2021-01-12;S&P500;1986;2020;29;1;12.349514563106796;1.8863815271582265;0.5390946502057613;0.375;0.059490084985835814;2.72;3.245;3.53;3.74;;2.0923076923076924;1.1589285714285715;1.1387096774193548;;
US68389X1054;ORCL;Oracle;USD;Technology;Software—Infrastructure;66.2;39.71;18.6328;2.682;22.9679;0.96;0.0155;2021-01-06;62.42;2021-01-14;2021-01-12;S&P500;2010;2021;9;2;0.1999999999999999;-0.5;-0.6;-0.6842105263157895;-0.75;0.72;0.76;0.91;0.96;0.24;0.3272727272727272;;0.30333333333333334;0.30967741935483867;
US68902V1070;OTIS;Otis Worldwide Corp;USD;Industrials;Specialty Industrial Machinery;68.21;38.0;;;;0.8;0.0125;2020-11-19;65.23;2021-01-14;2021-01-12;US Dividend Aristokrates;2020;2020;0;0;0.0;;;;;;;;;;;;;;
US6934751057;PNC;PNC Financial Services Group;USD;Financial Services;Banks—Regional;162.74;79.41;9.7102;117.358;1.37613;4.6;0.0289;2021-01-15;160.578;2021-01-14;2021-01-12;S&P500, Berkshire Hathaway;1986;2021;27;6;-0.21768707482993202;-0.38829787234042556;-0.4575471698113208;-0.6617647058823529;-0.75;2.6;3.4;4.2;4.6;1.15;0.25;0.31775700934579443;0.3684210526315789;;
US6935061076;PPG;PPG Industries;USD;Basic Materials;Specialty Chemicals;153.81;69.77;33.4251;22.481;6.75014;2.16;0.0142;2020-11-09;151.28;2021-01-14;2021-01-12;US Dividend Aristokrates, S&P500;1984;2020;35;1;11.000000000000002;0.7355371900826447;0.4840989399293286;0.2352941176470589;0.06060606060606066;1.7;1.86;1.98;2.1;;0.2698412698412698;0.3381818181818182;0.38076923076923075;;
US69351T1060;PPL;PPL;USD;Utilities;Utilities—Regulated Electric;36.83;18.12;14.007;17.802;1.58465;1.66;0.0591;2020-12-09;27.95;2021-01-14;2021-01-12;S&P500;1985;2020;28;5;0.5270546243997571;0.21242221508077946;0.12434892746594775;0.050632911392404965;0.004842615012106542;1.58;1.64;1.652;1.66;;0.9875;0.6307692307692307;0.6883333333333334;;
US6936561009;PVH;PVH;USD;Consumer Cyclical;Apparel Manufacturing;108.84;28.4;;65.771;1.53913;;;2020-03-19;108.79;2021-01-14;2021-01-12;S&P500;1985;2020;7;9;-0.905;-0.7432432432432432;-0.75;-0.75;-0.7491749174917491;0.152;0.152;0.1515;0.038;;0.02235294117647059;0.022686567164179102;0.015618556701030928;0.0067857142857142855;
US6937181088;PCAR;Paccar;USD;Industrials;Farm & Heavy Construction Machinery;95.82;49.11;21.7707;29.409;3.03513;1.28;0.0144;2021-02-08;89.46;2021-01-14;2021-01-12;Nasdaq, S&P500;1988;2020;21;11;10.796246648793565;0.1647058823529412;-0.146551724137931;-0.09589041095890409;-0.446927374301676;2.19;3.09;3.58;1.98;;0.45625;0.4983870967741935;0.5188405797101449;;
US6951561090;PKG;Packaging;USD;Consumer Cyclical;Packaging & Containers;148.14;71.05;28.7784;34.042;4.20069;4.0;0.0278;2020-12-18;147.23;2021-01-14;2021-01-12;S&P500;2004;2020;13;1;4.616666666666667;1.2273628552544615;0.5318181818181817;0.3373015873015873;0.06645569620253163;2.52;3.0;3.16;3.37;;0.35492957746478876;0.38461538461538464;0.4328767123287672;;
US7010941042;PH;Parker Hannifin;USD;Industrials;Specialty Industrial Machinery;293.8;93.0;31.7817;50.691;5.74303;3.52;0.0123;2020-11-05;287.76;2021-01-14;2021-01-12;S&P500;1986;2020;26;3;14.101462954223692;0.9775280898876404;0.3968253968253968;0.33333333333333326;0.03529411764705886;2.64;2.94;3.4;3.52;;0.36164383561643837;0.3769230769230769;0.2956521739130435;0.37849462365591396;
US7043261079;PAYX;Paychex;USD;Industrials;Staffing & Employment Services;99.95;47.87;30.058;8.013;10.9909;2.48;0.0277;2020-10-30;90.72;2021-01-14;2021-01-12;Nasdaq, S&P500;1989;2020;29;1;488.1518737672584;2.542857142857143;0.5499999999999999;0.2916666666666667;0.024793388429752088;1.92;2.18;2.42;2.48;;0.8347826086956522;0.8384615384615385;0.8344827586206897;0.8266666666666667;
US70450Y1038;PYPL;PayPal;USD;Financial Services;Credit Services;249.85;82.07;91.3434;15.77;15.3494;;;;237.64;2021-01-14;2021-01-12;Nasdaq, S&P500;;;;;;;;;;;;;;;;;;;
US7127041058;PBCT;Peoples United Financial;USD;Financial Services;Banks—Regional;16.62;9.37;12.7715;18.108;0.811796;0.72;0.0503;2020-10-30;14.45;2021-01-14;2021-01-12;S&P500, US Dividend Aristokrates;1989;2020;26;3;6.26941378961223;0.10631741140215709;0.07324364723467852;0.04208998548621194;0.012693935119887177;0.689;0.698;0.709;0.718;;;0.5369230769230768;0.5453846153846154;;
