ISIN;YahooTicker;Name;Currency;Sector;Industry;Hight_52;Low_52;PeRatio;BookValue;PriceToBook;LastDividend;LastDividendYield;LastDividendDate;TSValue;KeyDate;TSDate;IndexName§  0        ;FirstDivYear;LastDivYear;DivIncreas;DivDecrease;DivGrowthSi;DivGrowthLast7;DivGrowthLast5;DivGrowthlast3;DivGrowthLast;DivYear_2017;DivYear_2018;DivYear_2019;DivYear_2020;DivYear_2021;PayoutYear_2017;PayoutYear_2018;PayoutYear_2019;PayoutYear_2020;PayoutYear_2021
CH0002619481;WARN.SW;Warteck Invest;;Real Estate;Real Estate Services;2380.0;1970.0;21.7227;1642.71;1.43056;70.0;0.0298;2021-05-28;2350.0;2021-04-20;2021-04-21;SPI;1997;2020;10;1;1.0;0.029411764705882353;0.029411764705882353;0.029411764705882353;0.03638449864899872;68.0;67.5425;67.5425;70.0;;0.8489388264669164;0.7422252747252748;0.44641440846001323;;
CH0002661731;ZWM.SW;Zwahlen et Mayr SA;;Basic Materials;Steel;218.0;133.0;;543.504;0.349583;;;2015-05-08;190.0;2021-04-20;2021-04-20;SPI;1996;2015;4;2;12.5;12.5;18.285714285714285;;;;;;;;;;;;
CH0003245351;ROL.SW;Von Roll;;Industrials;Electrical Equipment & Parts;0.92;0.53;;0.481;1.69231;;;2010-05-07;0.814;2021-04-20;2021-04-21;SPI;1999;2010;1;2;-0.8;;;;-0.5;;;;;;;;;;
CH0003390066;MIKN.SW;Mikron;;Industrials;Specialty Industrial Machinery;6.8;4.45;;8.887;0.756161;;;2020-04-17;6.72;2021-04-20;2021-04-21;SPI;1999;2020;2;4;-0.9880000000000001;-0.6;0.1999999999999999;;-0.7000000000000001;;0.05;0.2;0.06;;;;;;
CH0003420806;OFN.SW;Orell Fuessli;CHF;Industrials;Specialty Business Services;120.5;86.0;16.7424;69.151;1.59795;3.0;0.0264;2021-05-14;112.0;2021-04-20;2021-04-21;SPI;1997;2020;8;5;-0.4;;;0.5;2.0;4.0;4.0;2.0;6.0;;1.6666666666666667;-0.15625;0.46511627906976744;;
CH0003541510;FORN.SW;Forbo International;CHF;Industrials;Building Products & Equipment;1858.0;1162.0;26.5165;432.804;4.08037;20.0;0.0111;2021-04-08;1776.0;2021-04-20;2021-04-21;SPI;1997;2021;8;2;0.05263157894736842;0.42857142857142855;0.17647058823529413;0.05263157894736842;-0.5652173913043478;19.0;19.0;42.0;46.0;20.0;0.8482142857142858;0.23058252427184464;0.48667439165701043;;
CH0003583256;HLEE.SW;Highlight Event and Entertainment;CHF;Communication Services;Entertainment;39.0;24.8;17.9718;10.857;2.57898;;;2010-05-17;28.0;2021-04-20;2021-04-20;SPI;2000;2010;3;1;0.24999999999999994;-0.23076923076923078;-0.3333333333333333;;0.0;;;;;;;;;;
CH0003671440;RIEN.SW;Rieter;CHF;Industrials;Specialty Industrial Machinery;138.0;73.9;;78.499;1.74779;4.5;0.0327;2020-04-22;137.2;2021-04-20;2021-04-21;SPI;1997;2020;8;5;0.0;2.6;1.0;0.8;-0.1;5.0;5.0;10.0;9.0;;1.7241379310344829;0.7042253521126761;0.8547008547008548;;
CH0005319162;ELMN.SW;Elma Electronic;CHF;Technology;Electronic Components;540.0;434.0;22.0967;186.4;2.897;;;2001-05-08;540.0;2021-04-20;2021-04-20;SPI;1998;2001;1;0;0.25;;;0.25;0.0;;;;;;;;;;
CH0005795668;STLN.SW;Swiss Steel (ex Schmolz + Bickenbach;CHF;Basic Materials;Steel;0.29;0.131;;0.079;3.39241;;;2012-04-23;0.2655;2021-04-20;2021-04-21;SPI;2005;2012;2;2;-0.8;-0.8;-0.9199999999999999;-0.8;;;;;;;;;;;
